County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Out Of Country,2018-2019,,79759,,,,,
Bradford,2016-2017,20534654,13155059,1095124,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Lycoming,2015-2016,47812695,30534452,2552885,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Clarion,2012-2013,12014286,7480626,646040,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Cameron,2013-2014,2094372,1879020,128029,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Pike,2013-2014,9139680,7400074,495804,42103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Lehigh,2015-2016,98341178,58283473,5184951,42077,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Lebanon,2010-2011,25163421,16879292,1352910,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Franklin,2016-2017,36685903,25369377,1956555,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Somerset,2015-2016,22655459,14475297,1209546,42111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Philadelphia,2010-2011,482418451,271563611,24839242,42101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Forest,2010-2011,2344095,1467063,124301,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Adams,2010-2011,16020747,14805818,865786,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Union,2016-2017,10662758,6888175,571552,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Butler,2017-2018,66047020,43858508,3556823,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Pike,2014-2015,8729522,5129501,458349,42103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Luzerne,2011-2012,120761670,113104442,6556319,42079,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Montgomery,2012-2013,182604019,102962767,9572807,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Columbia,2018-2019,24162717,18580903,1379128,42037,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Sullivan,2011-2012,1644202,855086,87668,42113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Washington,2016-2017,63403880,38194105,3343911,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Carbon,2017-2018,27301279,18065456,1456965,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Erie,2011-2012,76512185,44545972,4057637,42049,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Huntingdon,2016-2017,13871968,9593323,738584,42061,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Lackawanna,2013-2014,93354133,56089944,5004722,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Adams,2015-2016,25040715,15640763,1328617,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Centre,2012-2013,26402958,16026892,1417362,42027,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Franklin,2014-2015,31640363,19702875,1689246,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Mercer,2011-2012,33796120,21154549,1789790,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Northumberland,2018-2019,37155089,26690240,2089312,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Snyder,2017-2018,12002254,7869367,649583,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
York,2013-2014,116940469,69879631,6287646,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Greene,2018-2019,13915774,8406480,815652,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Delaware,2014-2015,146418188,86870282,7687429,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Westmoreland,2012-2013,135939359,86510240,7220611,42129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Allegheny,2011-2012,381641961,204796026,19999201,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Mercer,2017-2018,40573261,26114889,2171739,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Mercer,2016-2017,39829814,24777876,2097343,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Blair,2013-2014,59851599,38746481,3234055,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Susquehanna,2013-2014,14602029,8170081,781306,42115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Union,2011-2012,7205315,4394863,386223,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Clarion,2017-2018,13525730,9009283,724170,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Schuylkill,2015-2016,73184109,46156434,3882785,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Philadelphia,2014-2015,524321610,287698895,27310100,42101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Lebanon,2017-2018,33913183,21879617,1830098,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Susquehanna,2017-2018,15946193,10819438,857005,42115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Clinton,2010-2011,10164845,6180964,543356,42035,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Crawford,2012-2013,19290573,11836214,1022649,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Monroe,2018-2019,56438803,35503461,3372461,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Cumberland,2015-2016,71471427,44686211,3798678,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Bedford,2016-2017,12222522,7641738,655369,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Montour,2012-2013,7226642,4450200,395870,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Armstrong,2016-2017,23203470,15046772,1234276,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Jefferson,2010-2011,13407708,9185573,718838,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Juniata,2014-2015,4943471,2994980,266572,42067,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Lancaster,2015-2016,120374809,78047781,6404608,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Venango,2017-2018,18065047,11616863,972963,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Northumberland,2014-2015,34990041,25847961,1890598,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Bedford,2011-2012,8824193,5472872,473743,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Armstrong,2017-2018,24114656,16430693,1294060,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Fulton,2015-2016,3487405,2108511,186939,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Mifflin,2013-2014,16436789,11123510,889606,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Berks,2017-2018,125168378,84108831,6710569,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Allegheny,2015-2016,425589773,247618081,22336604,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Warren,2012-2013,18344112,12665644,988777,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Cumberland,2014-2015,65252330,38540684,3494564,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Mckean,2012-2013,11877033,8137439,638597,42083,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Snyder,2010-2011,9212729,5889344,491873,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Carbon,2013-2014,21997816,16431899,1181428,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
